Model,MAE,MSE,Accuracy,R2 Score
Linear Regression,0.38501157714439377,0.23533698821823973,99.97570669163643,0.9875368684974939
Decision Tree,2.171215986394558,9.718623992751862,99.8608008945445,0.39475817346663067
Random Forest,0.8785714285714287,1.289457142857143,99.94816327868674,0.9317120778168063
